Date,Latitude,Longitude
2022/12/13 17:52:18,44.127494,-81.203905
2022/12/13 17:52:15,44.127847,-81.203988
2022/12/13 17:52:12,44.128272,-81.204102
2022/12/13 17:52:09,44.128769,-81.204228
2022/12/13 17:52:06,44.129305,-81.204372
2022/12/13 17:52:03,44.12989,-81.204521
2022/12/13 17:52:00,44.130511,-81.204676
2022/12/13 17:51:57,44.131139,-81.20484
2022/12/13 17:51:54,44.131954,-81.205063
2022/12/13 17:51:51,44.132338,-81.205161
2022/12/13 17:51:48,44.132913,-81.205304
2022/12/13 17:51:45,44.133495,-81.205465
2022/12/13 17:51:42,44.134082,-81.205609
2022/12/13 17:51:39,44.13466,-81.205762
2022/12/13 17:51:36,44.135226,-81.20591
2022/12/13 17:51:33,44.13579,-81.206047
2022/12/13 17:51:30,44.136359,-81.206204
2022/12/13 17:51:27,44.137152,-81.206412
2022/12/13 17:51:24,44.137559,-81.206525
2022/12/13 17:51:21,44.138175,-81.206684
2022/12/13 17:51:18,44.138799,-81.206849
2022/12/13 17:51:15,44.139433,-81.207021
2022/12/13 17:51:12,44.140076,-81.20719
2022/12/13 17:51:09,44.140719,-81.207352
2022/12/13 17:51:06,44.141373,-81.207532
2022/12/13 17:51:03,44.142012,-81.207696
2022/12/13 17:51:00,44.142657,-81.207867
2022/12/13 17:50:57,44.143307,-81.208043
2022/12/13 17:50:54,44.14393,-81.2082
2022/12/13 17:50:51,44.144524,-81.208344
2022/12/13 17:50:48,44.145111,-81.208505
2022/12/13 17:50:45,44.14588,-81.208716
2022/12/13 17:50:42,44.146272,-81.208816
2022/12/13 17:50:39,44.146879,-81.208973
2022/12/13 17:50:36,44.147881,-81.209227
2022/12/13 17:50:33,44.148286,-81.209335
2022/12/13 17:50:30,44.149103,-81.20955
2022/12/13 17:50:27,44.149724,-81.209697
2022/12/13 17:50:23,44.150341,-81.209856
2022/12/13 17:50:20,44.150964,-81.210032
2022/12/13 17:50:17,44.151591,-81.210181
2022/12/13 17:50:14,44.152206,-81.210334
2022/12/13 17:50:11,44.152807,-81.2105
2022/12/13 17:50:08,44.1534,-81.210663
2022/12/13 17:50:05,44.153998,-81.210834
2022/12/13 17:50:02,44.154589,-81.210997
2022/12/13 17:49:59,44.155184,-81.211154
2022/12/13 17:49:56,44.155799,-81.211325
2022/12/13 17:49:53,44.156417,-81.211481
2022/12/13 17:49:50,44.157018,-81.211639
2022/12/13 17:49:47,44.157621,-81.211806
2022/12/13 17:49:44,44.158207,-81.211968
2022/12/13 17:49:41,44.158794,-81.212127
2022/12/13 17:49:38,44.15938,-81.212288
2022/12/13 17:49:35,44.159951,-81.212436
2022/12/13 17:49:32,44.160517,-81.212587
2022/12/13 17:49:29,44.16108,-81.212744
2022/12/13 17:49:26,44.161659,-81.212902
2022/12/13 17:49:23,44.162259,-81.213063
2022/12/13 17:49:20,44.162871,-81.213237
2022/12/13 17:49:17,44.163479,-81.213415
2022/12/13 17:49:14,44.164092,-81.213594
2022/12/13 17:49:11,44.164707,-81.213766
2022/12/13 17:49:08,44.165321,-81.213944
2022/12/13 17:49:05,44.16593,-81.214122
2022/12/13 17:49:02,44.166549,-81.21429
2022/12/13 17:48:59,44.167162,-81.214469
2022/12/13 17:48:55,44.167775,-81.214645
2022/12/13 17:48:52,44.168382,-81.214822
2022/12/13 17:48:49,44.168988,-81.21498
2022/12/13 17:48:47,44.169602,-81.215146
2022/12/13 17:48:43,44.170427,-81.215393
2022/12/13 17:48:40,44.171038,-81.215574
2022/12/13 17:48:37,44.171643,-81.215753
2022/12/13 17:48:34,44.17225,-81.215918
2022/12/13 17:48:31,44.172873,-81.216084
2022/12/13 17:48:28,44.173495,-81.216262
2022/12/13 17:48:25,44.174114,-81.216445
2022/12/13 17:48:22,44.174748,-81.216618
2022/12/13 17:48:19,44.175384,-81.216791
2022/12/13 17:48:16,44.176014,-81.216962
2022/12/13 17:48:13,44.176649,-81.217137
2022/12/13 17:48:28,44.173495,-81.216262
2022/12/13 17:48:25,44.174114,-81.216445
2022/12/13 17:48:22,44.174748,-81.216618
2022/12/13 17:48:19,44.175384,-81.216791
2022/12/13 17:48:16,44.176014,-81.216962
2022/12/13 17:48:13,44.176649,-81.217137
2022/12/13 17:48:10,44.177295,-81.217323
2022/12/13 17:48:07,44.177917,-81.217514
2022/12/13 17:48:04,44.178544,-81.217692
2022/12/13 17:48:01,44.179179,-81.217861
2022/12/13 17:47:58,44.179818,-81.21803
2022/12/13 17:47:55,44.180449,-81.218211
2022/12/13 17:47:52,44.181072,-81.218398
2022/12/13 17:47:49,44.18169,-81.218569
2022/12/13 17:47:46,44.182304,-81.218744
2022/12/13 17:47:43,44.182905,-81.218906
2022/12/13 17:47:40,44.183497,-81.219068
2022/12/13 17:47:37,44.184089,-81.219245
2022/12/13 17:47:34,44.18469,-81.219417
2022/12/13 17:47:31,44.185308,-81.219593
2022/12/13 17:47:28,44.185907,-81.219765
2022/12/13 17:47:25,44.186529,-81.219936
2022/12/13 17:47:22,44.187141,-81.220102
2022/12/13 17:47:19,44.187749,-81.220279
2022/12/13 17:47:16,44.188368,-81.220452
2022/12/13 17:47:13,44.188995,-81.220631
2022/12/13 17:47:10,44.189634,-81.220802
2022/12/13 17:47:07,44.190272,-81.220987
2022/12/13 17:47:04,44.19088,-81.221158
2022/12/13 17:47:01,44.191478,-81.221315
2022/12/13 17:46:58,44.192087,-81.221481
2022/12/13 17:46:55,44.192707,-81.221663
2022/12/13 17:46:52,44.193336,-81.221829
2022/12/13 17:46:49,44.193964,-81.222009
2022/12/13 17:46:46,44.194588,-81.222186
2022/12/13 17:46:43,44.195244,-81.222366
2022/12/13 17:46:40,44.195892,-81.22255
2022/12/13 17:46:37,44.196544,-81.222737
2022/12/13 17:46:34,44.197179,-81.222908
2022/12/13 17:46:31,44.197821,-81.223086
2022/12/13 17:46:28,44.198448,-81.223246
2022/12/13 17:46:25,44.199063,-81.223417
2022/12/13 17:46:22,44.199678,-81.223596
2022/12/13 17:46:19,44.20028,-81.223777
2022/12/13 17:46:16,44.200892,-81.223958
2022/12/13 17:46:12,44.201508,-81.224132
2022/12/13 17:46:09,44.202144,-81.224307
2022/12/13 17:46:07,44.202796,-81.224488
2022/12/13 17:46:03,44.203467,-81.224675
2022/12/13 17:46:00,44.204147,-81.22485
2022/12/13 17:45:57,44.204832,-81.225048
2022/12/13 17:45:54,44.205511,-81.22524
2022/12/13 17:45:51,44.206167,-81.225426
2022/12/13 17:45:48,44.20682,-81.225613
2022/12/13 17:45:45,44.207463,-81.225795
2022/12/13 17:45:42,44.208118,-81.225985
2022/12/13 17:45:39,44.208772,-81.226168
2022/12/13 17:45:36,44.209642,-81.22642
2022/12/13 17:45:33,44.210283,-81.226594
2022/12/13 17:45:30,44.210923,-81.22677
2022/12/13 17:45:27,44.211554,-81.226954
2022/12/13 17:45:24,44.212166,-81.227135
2022/12/13 17:45:21,44.212755,-81.22731
2022/12/13 17:45:18,44.213359,-81.227462
2022/12/13 17:45:15,44.21397,-81.227641
2022/12/13 17:45:12,44.214574,-81.227796
2022/12/13 17:45:09,44.215191,-81.227967
2022/12/13 17:45:06,44.215806,-81.228149
2022/12/13 17:45:03,44.216432,-81.22831
2022/12/13 17:45:00,44.217066,-81.228486
2022/12/13 17:44:57,44.2177,-81.228665
2022/12/13 17:44:54,44.218333,-81.228848
2022/12/13 17:44:51,44.218972,-81.229032
2022/12/13 17:44:48,44.219591,-81.229213
2022/12/13 17:44:45,44.220184,-81.229388
2022/12/13 17:44:42,44.220767,-81.22955
2022/12/13 17:44:39,44.221353,-81.22971
2022/12/13 17:44:36,44.221956,-81.229896
2022/12/13 17:44:51,44.218972,-81.229032
2022/12/13 17:44:48,44.219591,-81.229213
2022/12/13 17:44:45,44.220184,-81.229388
2022/12/13 17:44:42,44.220767,-81.22955
2022/12/13 17:44:39,44.221353,-81.22971
2022/12/13 17:44:36,44.221956,-81.229896
2022/12/13 17:44:33,44.222563,-81.230059
2022/12/13 17:44:30,44.223195,-81.230231
2022/12/13 17:44:27,44.223835,-81.230411
2022/12/13 17:44:24,44.224484,-81.230604
2022/12/13 17:44:21,44.225132,-81.230787
2022/12/13 17:44:18,44.225777,-81.230973
2022/12/13 17:44:14,44.226426,-81.231152
2022/12/13 17:44:11,44.227073,-81.231344
2022/12/13 17:44:08,44.22772,-81.231523
2022/12/13 17:44:05,44.228367,-81.231711
2022/12/13 17:44:02,44.229023,-81.23189
2022/12/13 17:43:59,44.229679,-81.232083
2022/12/13 17:43:57,44.230355,-81.232278
2022/12/13 17:43:53,44.231024,-81.232477
2022/12/13 17:43:50,44.231691,-81.232667
2022/12/13 17:43:47,44.232365,-81.232856
2022/12/13 17:43:44,44.233037,-81.233045
2022/12/13 17:43:41,44.233699,-81.233241
2022/12/13 17:43:38,44.234376,-81.233435
2022/12/13 17:43:35,44.235049,-81.233626
2022/12/13 17:43:32,44.235716,-81.233814
2022/12/13 17:43:29,44.236396,-81.234013
2022/12/13 17:43:26,44.237301,-81.234262
2022/12/13 17:43:23,44.237757,-81.234385
2022/12/13 17:43:20,44.238425,-81.234591
2022/12/13 17:43:17,44.239095,-81.234778
