Date,Latitude,Longitude,ImageUrl
12/09/2022 20:06:19,44.042214,-81.119137,
12/09/2022 20:06:49,44.044386,-81.122554,
12/09/2022 20:07:19,44.049642,-81.126724,
12/09/2022 20:07:49,44.055089,-81.132255,
12/09/2022 20:08:19,44.060772,-81.135701,
12/09/2022 20:08:50,44.067105,-81.136613,
12/09/2022 20:09:02,44.069798,-81.136518,
12/09/2022 20:09:32,44.076335,-81.138125,
12/09/2022 20:10:02,44.081786,-81.139626,
12/09/2022 20:10:32,44.088315,-81.14145,
12/09/2022 20:11:03,44.093818,-81.142985,
12/09/2022 20:11:15,44.095623,-81.143464,
12/09/2022 20:11:45,44.101115,-81.144909,
12/09/2022 20:12:15,44.106279,-81.14629,
12/09/2022 20:12:46,44.111301,-81.14764,
12/09/2022 20:13:16,44.115563,-81.148752,
12/09/2022 20:13:46,44.119791,-81.149878,
12/09/2022 20:14:16,44.120747,-81.15145,
12/09/2022 20:14:46,44.119849,-81.152547,
12/09/2022 20:15:17,44.119844,-81.152538,
